time_rank,temperature,pressure,humidity,wind_speed,PM2.5,NO2,CO,O3,SO2
2249,24.0,1008.2,11.0,2.3,350.0,15.0,1.063517915,121.0,1.0
2250,23.1,1008.1,16.0,2.5,292.0,26.0,1.06237785,103.0,12.0
2251,22.0,1008.7,19.0,2.3,376.0,34.0,1.061237785,98.0,6.0
2252,21.2,1009.0,31.0,1.5,409.0,38.0,1.06009772,72.0,1.0
2253,20.7,1009.7,32.0,1.9,506.0,42.0,1.058957655,68.0,9.0
2254,20.3,1009.7,31.0,1.9,497.0,38.0,1.05781759,67.0,12.0
2255,20.0,1009.3,32.0,3.1,481.0,33.0,1.0566775240000001,62.0,6.0
2256,19.7,1008.7,39.0,2.8,454.0,31.0,1.055537459,64.0,7.0
2257,18.8,1007.2,43.0,2.9,427.0,39.0,1.054397394,52.0,4.0
2258,18.1,1006.5,48.0,2.9,389.0,37.0,1.053257329,49.0,6.0
2259,17.8,1005.6,54.0,3.6,343.0,41.0,1.052117264,52.0,7.0
2260,17.8,1005.1,53.0,3.6,284.0,27.0,1.050977199,66.0,16.0
2261,17.5,1004.8,56.0,2.9,278.0,32.0,1.0498371340000001,61.0,13.0
2262,16.9,1004.9,58.0,1.8,251.0,33.0,1.048697068,57.0,13.0
2263,17.0,1006.0,58.0,2.9,241.0,47.0,1.0475570029999999,36.0,7.0
2264,17.4,1007.8,22.0,8.3,309.0,46.0,1.046416938,48.0,9.0
2265,17.1,1010.1,15.0,7.5,303.0,9.0,1.045276873,108.0,6.0
2266,16.4,1012.6,18.0,8.3,297.0,12.0,1.044136808,99.0,6.0
2267,16.5,1013.2,16.0,7.0,152.0,13.0,1.042996743,96.0,12.0
2268,17.5,1012.9,12.0,6.3,20.0,6.0,1.041856678,102.0,1.0
2269,18.1,1013.1,12.0,7.0,10.0,16.0,1.040716612,110.0,1.0
2270,18.5,1013.0,10.0,5.6,24.0,17.0,1.039576547,100.0,6.0
2271,19.6,1012.0,11.0,4.5,20.0,14.0,1.038436482,109.0,9.0
2272,19.5,1011.1,9.0,4.3,23.0,18.0,1.037296417,112.0,1.0
2273,19.4,1011.0,9.0,3.0,20.0,15.0,1.0361563520000001,114.0,6.0
2274,19.8,1010.7,11.0,0.8,10.0,7.0,1.035016287,114.0,1.0
2275,16.5,1010.8,16.0,2.2,12.0,21.0,1.0338762209999999,96.0,6.0
2276,15.0,1011.2,18.0,2.0,16.0,42.0,1.032736156,78.0,1.0
2277,14.2,1011.8,21.0,1.8,24.0,54.0,1.031596091,57.0,6.0
2278,14.3,1011.5,20.0,1.5,19.0,38.0,1.030456026,68.0,9.0
2279,12.0,1010.7,28.0,1.3,27.0,51.0,1.029315961,43.0,7.0
2280,14.8,1009.9,25.0,2.5,28.0,51.0,1.028175896,56.0,9.0
2281,15.7,1008.9,24.0,3.0,29.0,44.0,1.0270358309999998,58.0,6.0
2282,15.4,1008.4,26.0,2.8,20.0,30.0,1.025895765,58.0,7.0
2283,14.5,1008.6,29.0,1.7,25.0,32.0,1.0247556999999998,62.0,12.0
2284,13.7,1008.9,31.0,1.6,8.0,30.0,1.023615635,45.0,11.0
2285,12.8,1008.6,33.0,1.4,30.0,43.0,1.02247557,46.0,13.0
2286,10.7,1009.6,47.0,1.1,9.0,50.0,1.021335505,30.0,6.0
2287,15.7,1010.2,39.0,1.3,24.0,60.0,1.02019544,19.0,12.0
2288,18.7,1010.7,28.0,0.9,38.0,62.0,1.019055375,19.0,15.0
2289,22.2,1010.6,17.0,1.3,45.0,58.0,1.0179153090000002,30.0,11.0
2290,24.0,1010.7,14.0,3.9,36.0,28.0,1.016775244,96.0,1.0
2291,25.6,1010.4,15.0,3.3,13.0,15.0,1.015635179,113.0,12.0
2292,26.1,1009.4,15.0,5.6,25.0,21.0,1.014495114,122.0,12.0
2293,27.0,1008.5,13.0,3.7,19.0,8.0,1.013355049,118.0,6.0
2294,27.5,1007.8,13.0,2.9,22.0,16.0,1.012214984,149.0,9.0
2295,28.0,1006.9,13.0,3.3,29.0,13.0,1.0110749190000001,152.0,9.0
2296,28.2,1006.2,14.0,3.2,25.0,15.0,1.009934853,147.0,12.0
2297,27.9,1005.9,15.0,3.2,39.0,15.0,1.0087947879999999,157.0,7.0
2298,27.1,1005.6,16.0,2.7,109.0,26.0,1.007654723,156.0,2.0
2299,25.4,1006.0,19.0,1.7,38.0,36.0,1.006514658,140.0,11.0
2300,22.0,1006.7,28.0,1.0,79.0,43.0,1.005374593,119.0,12.0
2301,18.5,1007.4,38.0,0.7,48.0,57.0,1.004234528,77.0,7.0
2302,16.7,1007.9,45.0,0.4,107.0,90.0,1.003094463,34.0,17.0
2303,16.7,1008.5,48.0,0.9,91.0,107.0,1.001954397,20.0,21.0
2304,14.2,1008.8,57.0,1.1,101.0,126.0,1.000814332,1.0,15.0
2305,16.3,1009.2,47.0,0.8,86.0,126.0,0.9996742670000001,6.0,10.0
2306,15.6,1009.7,42.0,0.8,56.0,115.0,0.998534202,12.0,5.0
2307,13.8,1010.1,44.0,0.5,53.0,100.0,0.997394137,9.0,7.0
2308,13.9,1010.3,43.0,1.5,49.0,99.0,0.996254072,1.0,9.0
2309,12.7,1010.6,46.0,0.9,42.0,85.0,0.9951140070000001,1.0,9.0
2310,14.6,1010.8,43.0,0.6,36.0,80.0,0.9939739409999999,24.0,2.0
2311,20.1,1011.3,40.0,0.7,44.0,78.0,0.992833876,28.0,16.0
2312,22.7,1011.5,25.0,1.6,59.0,65.0,0.991693811,35.0,19.0
2313,24.4,1011.0,20.0,1.5,58.0,67.0,0.9905537459999999,51.0,32.0
2314,25.8,1010.8,17.0,1.6,48.0,57.0,0.9894136809999999,67.0,26.0
2315,27.7,1010.3,15.0,2.0,60.0,49.0,0.988273616,93.0,16.0
2316,28.4,1009.2,13.0,1.5,28.0,22.0,0.98713355,118.0,6.0
2317,29.4,1008.0,13.0,2.5,42.0,15.0,0.985993485,142.0,12.0
2318,30.2,1006.9,13.0,2.8,48.0,10.0,0.98485342,153.0,6.0
2319,30.2,1005.6,13.0,2.6,39.0,15.0,0.983713355,165.0,6.0
2320,30.5,1004.8,13.0,2.9,40.0,17.0,0.98257329,162.0,9.0
2321,29.5,1004.6,15.0,4.0,23.0,17.0,0.981433225,154.0,9.0
2322,28.0,1004.4,19.0,3.2,36.0,16.0,0.98029316,169.0,10.0
2323,26.9,1004.3,20.0,3.6,41.0,21.0,0.9791530940000001,145.0,25.0
2324,25.9,1004.7,24.0,3.0,32.0,29.0,0.9780130290000001,148.0,22.0
2325,24.8,1005.2,28.0,2.4,51.0,23.0,0.976872964,134.0,13.0
2326,23.9,1005.2,34.0,3.2,65.0,23.0,0.975732899,131.0,19.0
2327,22.9,1004.8,35.0,2.2,69.0,31.0,0.9745928340000001,115.0,27.0
2328,22.1,1004.5,36.0,2.0,65.0,40.0,0.9734527690000001,90.0,21.0
2329,21.0,1004.1,41.0,1.8,67.0,33.0,0.972312704,79.0,15.0
2330,18.7,1004.0,49.0,1.1,67.0,52.0,0.971172638,54.0,19.0
2331,15.1,1003.6,63.0,0.7,64.0,51.0,0.970032573,46.0,17.0
2332,14.2,1003.6,69.0,1.2,58.0,38.0,0.9688925079999999,48.0,13.0
2333,13.6,1003.3,75.0,0.4,49.0,73.0,0.967752443,12.0,13.0
2334,14.4,1003.5,69.0,0.5,57.0,91.0,0.966612378,1.0,5.0
2335,17.8,1003.6,59.0,1.2,69.0,111.0,0.9654723129999999,17.0,21.0
2336,20.4,1004.0,51.0,1.0,68.0,93.0,0.964332248,21.0,23.0
2337,22.3,1004.2,37.0,1.7,63.0,80.0,0.963192182,47.0,12.0
2338,23.6,1004.3,35.0,1.4,78.0,90.0,0.962052117,54.0,18.0
2339,24.4,1004.0,34.0,1.1,83.0,90.0,0.9609120520000001,73.0,19.0
2340,27.0,1003.3,26.0,1.3,84.0,91.0,0.959771987,77.0,14.0
2341,28.8,1002.7,20.0,1.7,73.75,51.0,0.958631922,133.0,11.0
2342,29.5,1001.9,21.0,2.1,63.5,57.0,0.9574918570000001,161.0,21.0
2343,29.3,1001.2,19.0,1.9,53.25,36.0,0.956351792,182.0,18.0
2344,30.5,1000.6,14.0,1.7,43.0,21.0,0.9552117259999999,187.0,6.0
2345,29.6,1000.3,20.0,2.2,40.0,24.0,0.954071661,210.0,11.0
2346,28.4,1000.2,25.0,2.9,50.0,34.0,0.952931596,217.0,11.0
2347,27.0,1000.5,28.0,2.4,70.0,28.0,0.9517915309999999,212.0,22.0
2348,25.4,1000.6,37.0,1.9,86.0,35.0,0.950651466,210.0,33.0
2349,23.2,1001.2,41.0,1.6,120.0,46.0,0.949511401,178.0,34.0
2350,23.6,1001.4,40.0,2.5,116.0,49.0,0.9483713359999999,154.0,31.0
2351,22.7,1001.6,42.0,3.7,87.0,38.0,0.94723127,122.0,30.0
2352,22.0,1001.9,39.0,4.4,49.0,25.0,0.946091205,119.0,26.0
2353,20.8,1001.6,44.0,4.3,28.0,17.0,0.94495114,98.0,14.0
2354,19.3,1001.3,49.0,3.4,31.0,31.0,0.943811075,89.0,17.0
2355,18.1,1001.4,56.0,2.7,38.0,20.0,0.94267101,77.0,14.0
2356,17.2,1001.7,60.0,2.1,26.0,29.0,0.941530945,72.0,19.0
2357,16.7,1001.9,62.0,2.1,28.0,35.0,0.9403908790000001,71.0,14.0
2358,15.1,1003.2,70.0,1.7,28.0,21.0,0.9392508140000001,68.0,13.0
2359,17.1,1004.1,65.0,2.4,41.0,32.0,0.938110749,74.0,15.0
2360,18.5,1004.9,60.0,3.5,38.0,38.0,0.936970684,64.0,20.0
2361,20.4,1005.2,53.0,2.8,55.0,29.0,0.9358306190000001,97.0,25.0
2362,21.8,1005.2,47.0,4.0,58.0,30.0,0.934690554,114.0,23.0
2363,23.4,1004.7,43.0,3.5,49.0,25.0,0.933550489,140.0,13.0
2364,25.6,1003.9,32.0,4.5,53.0,21.0,0.932410423,161.0,8.0
2365,26.4,1003.1,30.0,4.1,36.0,9.0,0.931270358,182.0,15.0
2366,26.8,1002.0,28.0,5.4,31.0,16.0,0.9301302929999999,179.0,9.0
2367,27.8,1001.1,25.0,3.7,40.0,15.0,0.928990228,181.0,9.0
2368,27.5,1000.5,26.0,4.7,36.0,11.0,0.927850163,179.0,11.0
2369,27.1,1000.2,29.0,4.0,29.0,18.0,0.9267100979999999,184.0,3.0
2370,26.4,1000.3,30.0,4.0,33.0,24.0,0.925570033,177.0,3.0
2371,25.2,1001.0,33.0,2.1,33.0,22.0,0.924429967,158.0,12.0
2372,21.9,1001.4,48.0,3.7,26.0,32.0,0.923289902,143.0,13.0
2373,20.4,1003.0,56.0,2.5,43.0,33.0,0.9221498370000001,130.0,14.0
2374,19.6,1003.7,55.0,3.7,31.0,37.0,0.921009772,101.0,21.0
2375,18.5,1004.0,62.0,2.3,31.0,47.0,0.919869707,84.0,12.0
2376,17.7,1003.5,67.0,1.6,39.0,41.0,0.9187296420000001,64.0,16.0
2377,16.1,1002.3,74.0,1.9,35.0,47.0,0.917589577,61.0,9.0
2378,15.5,1002.1,77.0,1.5,42.0,50.0,0.9164495109999999,43.0,8.0
2379,15.2,1001.9,80.0,1.4,43.0,68.0,0.915309446,30.0,7.0
2380,14.9,1002.0,81.0,1.4,52.0,69.0,0.9141693809999999,24.0,7.0
2381,14.2,1002.2,83.0,1.2,59.0,68.0,0.9130293159999999,15.0,9.0
2382,15.2,1002.5,79.0,1.5,43.0,59.0,0.911889251,20.0,13.0
2383,17.3,1003.1,70.0,1.1,55.0,53.0,0.910749186,34.0,15.0
2384,18.6,1003.1,65.0,1.6,50.0,48.0,0.9096091209999999,53.0,17.0
2385,21.0,1003.0,55.0,1.8,66.0,58.0,0.908469055,52.0,14.0
2386,24.3,1002.7,46.0,1.6,68.0,47.0,0.90732899,82.0,14.0
2387,26.9,1002.2,28.0,2.7,53.0,42.0,0.906188925,113.0,18.0
2388,27.7,1001.2,23.0,2.7,32.0,20.0,0.90504886,127.0,2.0
2389,29.0,1000.4,19.0,2.6,20.0,12.0,0.903908795,150.0,9.0
2390,30.5,999.5,15.0,3.1,16.0,18.0,0.90276873,125.0,1.0
2391,30.8,999.4,19.0,2.7,32.0,22.0,0.9016286640000001,172.0,1.0
2392,30.2,999.2,22.0,3.3,34.0,24.0,0.9004885990000001,177.0,9.0
2393,30.1,999.3,23.0,2.5,34.0,26.0,0.899348534,181.0,7.0
2394,28.8,999.5,26.0,3.8,36.0,19.0,0.8982084690000001,176.0,14.0
2395,27.4,999.9,29.0,2.6,36.0,36.0,0.8970684040000001,174.0,10.0
2396,24.3,1000.5,35.0,1.2,44.0,39.0,0.895928339,141.0,16.0
2397,23.8,1001.0,37.0,1.6,47.0,38.0,0.894788274,111.0,16.0
2398,23.1,1001.4,38.0,1.4,46.0,50.0,0.893648208,102.0,14.0
2399,23.0,1001.4,39.0,1.5,55.0,84.0,0.8925081429999999,64.0,15.0
2400,19.2,1001.4,50.0,1.0,51.0,84.0,0.891368078,49.0,6.0
2401,16.6,1001.1,61.0,0.2,44.0,86.0,0.890228013,41.0,5.0
2402,14.4,1000.4,69.0,0.5,52.0,107.0,0.889087948,7.0,10.0
2403,13.1,1000.4,73.0,0.7,43.0,61.0,0.8879478829999999,54.0,2.0
2404,12.8,1000.1,73.0,0.7,40.0,56.0,0.886807818,29.0,2.0
2405,11.6,1000.0,79.0,0.9,28.0,62.0,0.885667752,32.0,6.0
2406,13.8,999.8,74.0,0.4,26.0,82.0,0.8845276870000001,15.0,12.0
2407,19.8,1000.1,48.0,0.6,41.0,82.0,0.883387622,5.0,9.0
2408,23.5,1000.5,34.0,0.9,43.0,101.0,0.882247557,21.0,16.0
2409,25.7,1000.9,23.0,3.4,28.0,74.0,0.881107492,62.0,6.0
2410,28.6,1001.1,12.0,4.4,19.0,31.0,0.8799674270000001,80.0,9.0
2411,29.0,1001.4,13.0,3.2,36.0,23.0,0.878827362,94.0,10.0
2412,29.3,1001.3,12.0,5.8,49.0,16.0,0.877687296,110.0,6.0
2413,29.0,1001.0,12.0,4.8,50.0,17.0,0.876547231,122.0,6.0
2414,29.9,1000.9,12.0,5.8,54.0,15.0,0.8754071659999999,124.0,9.0
2415,29.8,1000.5,11.0,6.7,51.0,16.0,0.8742671009999999,115.0,12.0
2416,29.3,1000.4,9.0,6.1,41.0,14.0,0.873127036,119.0,6.0
2417,28.2,1000.7,7.0,6.9,33.0,18.0,0.8719869709999999,127.0,6.0
2418,27.4,1001.4,8.0,6.1,31.0,24.0,0.8708469059999999,119.0,1.0
2419,25.7,1002.4,7.0,5.6,22.0,19.0,0.86970684,111.0,9.0
2420,24.2,1004.4,7.0,5.5,34.0,9.0,0.868566775,116.0,12.0
2421,22.8,1006.0,7.0,3.4,25.0,10.0,0.86742671,102.0,1.0
2422,21.5,1006.4,7.0,2.9,30.0,19.0,0.866286645,107.0,12.0
2423,20.0,1006.6,8.0,1.4,20.0,25.0,0.86514658,98.0,6.0
2424,18.6,1006.6,8.0,1.2,35.0,29.0,0.864006515,75.0,12.0
2425,15.4,1006.1,13.0,1.4,50.0,34.0,0.86286645,79.0,12.0
2426,13.2,1005.2,23.0,0.7,46.0,54.0,0.861726384,47.0,6.0
2427,10.4,1004.8,37.0,0.2,42.0,53.0,0.860586319,32.0,9.0
2428,14.5,1005.4,16.0,1.6,51.0,59.0,0.8594462540000001,32.0,6.0
2429,13.7,1005.3,22.0,2.0,45.0,59.0,0.8583061890000001,35.0,12.0
2430,14.6,1005.1,21.0,2.0,44.0,49.0,0.857166124,42.0,1.0
2431,17.7,1004.8,18.0,2.6,36.0,31.0,0.8560260590000001,55.0,2.0
2432,19.8,1003.8,15.0,3.9,47.0,30.0,0.854885993,65.0,17.0
2433,22.2,1003.1,13.0,3.7,44.0,26.0,0.8537459279999999,89.0,15.0
2434,23.5,1002.3,13.0,5.2,50.0,21.0,0.852605863,99.0,11.0
2435,24.1,1001.2,16.0,5.6,65.0,17.0,0.851465798,96.0,14.0
2436,25.5,999.7,15.0,6.4,65.0,17.0,0.8503257329999999,116.0,13.0
2437,26.6,998.1,15.0,5.5,63.0,22.0,0.849185668,135.0,10.0
2438,27.3,996.3,18.0,6.7,58.0,12.0,0.848045603,147.0,18.0
2439,28.1,994.6,19.0,6.1,53.0,16.0,0.846905537,174.0,18.0
2440,28.8,993.8,20.0,3.9,63.0,16.0,0.8457654720000001,183.0,24.0
2441,27.8,993.5,22.0,4.4,62.0,22.0,0.844625407,185.0,16.0
2442,27.6,992.9,24.0,2.7,62.0,30.0,0.843485342,171.0,24.0
2443,27.1,993.3,25.0,2.2,59.0,37.0,0.8423452770000001,159.0,21.0
2444,25.8,994.7,29.0,2.3,64.0,52.0,0.841205212,133.0,22.0
2445,25.5,995.8,17.0,3.9,57.0,38.0,0.840065147,131.0,12.0
2446,23.4,996.6,19.0,2.3,44.0,40.0,0.838925081,122.0,14.0
2447,22.7,996.9,16.0,2.2,40.0,50.0,0.837785016,84.0,7.0
2448,20.9,997.3,19.0,1.8,24.0,37.0,0.8366449509999999,58.0,9.0
2449,20.4,997.8,18.0,2.7,31.0,26.0,0.835504886,72.0,9.0
2450,19.2,998.0,20.0,2.9,30.0,45.0,0.834364821,53.0,9.0
2451,17.2,998.0,22.0,1.4,30.0,43.0,0.8332247559999999,49.0,1.0
2452,14.9,998.9,26.0,1.6,47.0,42.0,0.8320846909999999,59.0,1.0
2453,19.4,1001.2,15.0,6.4,57.0,32.0,0.830944625,65.0,6.0
2454,18.3,1002.5,19.0,5.8,27.0,13.0,0.82980456,83.0,6.0
2455,17.4,1003.5,27.0,3.7,29.0,19.0,0.828664495,72.0,9.0
2456,18.5,1005.0,25.0,4.3,24.0,8.0,0.82752443,72.0,1.0
2457,18.9,1005.4,24.0,5.3,16.0,19.0,0.826384365,81.0,1.0
2458,19.5,1005.8,22.0,5.1,14.0,6.0,0.8252443000000002,89.0,6.0
2459,21.8,1005.2,21.0,3.6,25.0,12.0,0.824104235,92.0,6.0
2460,22.9,1004.9,20.0,3.7,23.0,18.0,0.822964169,95.0,1.0
2461,24.3,1004.4,18.0,4.0,21.0,12.0,0.821824104,105.0,9.0
2462,25.3,1003.8,19.0,3.1,22.0,12.0,0.8206840390000001,103.0,1.0
2463,26.2,1003.1,18.0,4.2,11.0,15.0,0.819543974,109.0,1.0
2464,27.6,1002.9,17.0,3.7,9.0,21.0,0.818403909,106.0,9.0
2465,27.8,1003.1,16.0,3.7,13.0,19.0,0.8172638440000001,103.0,9.0
2466,27.2,1003.0,16.0,3.8,25.0,23.0,0.8161237790000001,111.0,9.0
2467,24.9,1004.0,21.0,2.1,25.0,25.0,0.8149837129999999,137.0,12.0
2468,23.3,1004.4,24.0,1.7,28.0,29.0,0.813843648,126.0,6.0
2469,22.2,1005.0,28.0,2.3,46.0,37.0,0.812703583,107.0,5.0
2470,21.0,1005.5,30.0,1.9,64.0,40.0,0.8115635179999999,78.0,2.0
2471,20.9,1006.0,29.0,2.5,47.5,35.5,0.810423453,75.0,4.5
2472,20.4,1006.6,31.0,1.8,31.0,31.0,0.809283388,72.0,7.0
2473,19.3,1007.6,33.0,1.1,37.0,42.0,0.808143322,60.0,7.0
2474,21.6,1008.4,26.0,3.0,15.0,26.0,0.8070032570000001,67.0,9.0
2475,20.1,1009.2,30.0,2.8,25.0,26.0,0.805863192,78.0,9.0
2476,18.2,1010.0,38.0,2.3,26.0,35.0,0.804723127,50.0,6.0
2477,17.1,1010.6,44.0,1.8,23.0,56.0,0.8035830620000001,33.0,12.0
2478,17.0,1011.5,48.0,1.0,32.0,64.0,0.802442997,24.0,13.0
2479,19.7,1012.0,45.0,2.5,33.0,47.0,0.801302932,25.0,19.0
2480,21.5,1012.1,35.0,2.3,31.0,32.0,0.800162866,53.0,16.0
2481,22.2,1011.9,28.0,2.3,26.0,35.0,0.7990228009999999,67.0,14.0
2482,23.4,1011.6,26.0,2.7,15.0,12.0,0.7978827359999999,98.0,1.0
2483,24.0,1011.0,25.0,1.8,18.0,22.0,0.796742671,108.0,12.0
2484,24.8,1009.8,24.0,2.8,19.0,24.0,0.795602606,110.0,12.0
2485,26.4,1008.7,21.0,2.1,11.0,22.0,0.7944625409999999,129.0,1.0
2486,27.3,1007.4,20.0,2.3,21.0,18.0,0.7933224759999999,133.0,9.0
2487,27.7,1006.7,19.0,1.6,27.0,15.0,0.79218241,148.0,9.0
2488,27.9,1006.2,23.0,3.5,27.0,15.0,0.791042345,169.0,6.0
2489,27.4,1006.4,24.0,3.6,22.0,23.0,0.78990228,171.0,7.0
2490,26.4,1006.8,26.0,2.1,29.0,19.0,0.788762215,174.0,14.0
2491,25.3,1007.3,29.0,2.4,24.0,23.0,0.78762215,156.0,3.0
2492,23.7,1008.2,33.0,0.7,30.0,37.0,0.786482085,144.0,12.0
2493,23.6,1009.0,33.0,1.5,30.0,29.0,0.78534202,128.0,15.0
2494,22.6,1009.3,35.0,1.6,40.0,45.0,0.784201954,101.0,10.0
2495,23.0,1009.5,22.0,1.6,31.0,46.0,0.7830618890000001,88.0,9.0
2496,20.9,1009.7,27.0,1.2,29.0,42.0,0.7819218240000001,67.0,6.0
2497,20.9,1010.0,22.0,1.1,20.0,38.0,0.780781759,77.0,12.0
2498,18.5,1010.0,30.0,0.6,24.0,40.0,0.779641694,64.0,9.0
2499,16.6,1010.1,40.0,0.7,14.0,54.0,0.7785016290000001,45.0,12.0
2500,15.4,1010.1,44.0,0.5,11.0,54.0,0.777361564,34.0,12.0
2501,15.7,1010.8,37.0,2.7,18.0,70.0,0.776221498,13.0,1.0
2502,17.2,1011.9,46.0,2.9,29.0,55.0,0.775081433,42.0,7.0
2503,18.1,1012.5,43.0,4.3,34.0,49.0,0.773941368,40.0,26.0
2504,19.2,1012.5,37.0,2.8,34.0,40.0,0.7728013029999999,45.0,35.0
2505,21.5,1012.6,32.0,3.5,31.0,37.0,0.771661238,70.0,24.0
2506,22.6,1012.5,29.0,2.8,29.0,21.0,0.770521173,94.0,18.0
2507,23.8,1011.8,27.0,2.7,39.0,26.0,0.7693811070000001,103.0,13.0
2508,25.1,1010.9,26.0,1.9,40.0,16.0,0.768241042,121.0,16.0
2509,25.6,1009.8,20.0,1.5,26.0,14.0,0.767100977,137.0,19.0
2510,26.5,1008.7,22.0,2.8,29.0,20.0,0.765960912,148.0,7.0
2511,27.0,1007.8,19.0,3.0,32.0,21.0,0.7648208470000001,156.0,13.0
2512,27.1,1007.1,20.0,3.2,29.0,18.0,0.763680782,162.0,5.0
2513,27.5,1006.5,19.0,1.7,29.0,20.0,0.762540717,164.0,4.0
2514,26.6,1006.4,21.0,2.3,23.0,22.0,0.761400651,169.0,3.0
2515,25.3,1006.5,24.0,2.9,25.0,15.0,0.7602605859999999,161.0,11.0
2516,24.1,1007.0,26.0,1.6,27.0,35.0,0.7591205209999999,138.0,11.0
2517,23.0,1007.3,32.0,1.9,25.0,31.0,0.757980456,135.0,5.0
2518,21.1,1007.5,33.0,2.7,32.0,32.0,0.7568403909999999,116.0,11.0
2519,20.6,1007.5,32.0,2.1,25.0,39.0,0.7557003259999999,93.0,4.0
2520,19.2,1007.2,38.0,1.4,26.0,44.0,0.754560261,79.0,5.0
2521,18.6,1006.7,39.0,1.2,37.0,38.0,0.753420195,82.0,17.0
2522,18.7,1005.9,39.0,1.8,40.0,28.0,0.75228013,92.0,11.0
2523,18.1,1005.5,43.0,2.0,31.0,25.0,0.751140065,95.0,10.0
2524,17.3,1004.9,49.0,1.5,41.0,39.0,0.75,80.0,17.0
2525,14.8,1004.8,58.0,0.5,40.0,28.0,0.748859935,80.0,17.0
2526,15.1,1005.1,56.0,0.4,37.0,37.0,0.74771987,66.0,9.0
2527,18.5,1005.0,51.0,1.3,36.0,56.0,0.746579805,54.0,11.0
2528,21.2,1004.9,45.0,1.0,46.0,54.0,0.745439739,60.0,28.0
2529,23.4,1004.5,38.0,1.1,57.0,53.0,0.7442996740000001,86.0,37.0
2530,24.8,1004.1,34.0,1.3,63.0,58.0,0.7431596090000001,113.0,31.0
2531,26.3,1003.7,33.0,2.5,71.0,45.0,0.742019544,144.0,28.0
2532,27.5,1002.6,32.0,3.2,61.0,24.0,0.7408794790000001,200.0,26.0
2533,29.1,1001.3,27.0,3.7,55.0,23.0,0.7397394140000001,218.0,19.0
2534,29.7,1000.7,25.0,4.0,52.0,21.0,0.738599349,210.0,10.0
2535,30.7,999.7,23.0,3.7,35.0,24.0,0.737459283,202.0,20.0
2536,30.3,998.9,24.0,4.4,54.0,24.0,0.736319218,215.0,24.0
2537,30.1,998.2,29.0,3.2,60.0,26.0,0.7351791529999999,225.0,22.0
2538,29.2,997.6,29.0,4.7,49.0,29.0,0.734039088,214.0,16.0
2539,28.2,997.7,25.0,2.8,41.0,27.0,0.732899023,198.0,20.0
2540,27.0,997.8,31.0,3.4,37.0,34.0,0.731758958,176.0,25.0
2541,25.7,998.2,36.0,3.5,47.0,34.0,0.7306188929999999,160.0,22.0
2542,24.8,998.4,39.0,3.3,45.0,32.0,0.729478827,158.0,11.0
2543,23.8,998.1,43.0,3.1,44.0,32.0,0.728338762,137.0,24.0
2544,22.9,997.7,49.0,3.0,38.0,20.0,0.7271986970000001,127.0,31.0
2545,20.8,997.8,58.0,1.8,51.0,29.0,0.726058632,120.0,18.0
2546,18.9,998.1,68.0,1.2,43.0,35.0,0.724918567,109.0,27.0
2547,18.7,998.4,71.0,0.8,50.0,41.0,0.723778502,75.0,20.0
2548,16.2,998.9,82.0,0.7,54.0,29.0,0.722638436,65.0,16.0
2549,16.3,999.2,84.0,0.9,45.0,26.0,0.7214983709999999,66.0,6.0
2550,17.6,1000.1,78.0,1.0,49.0,62.0,0.720358306,37.0,11.0
2551,21.1,1000.6,65.0,1.3,66.0,68.0,0.719218241,54.0,16.0
2552,23.1,1001.1,56.0,1.2,87.0,40.0,0.7180781759999999,78.0,23.0
2553,24.7,1001.3,52.0,1.9,81.0,44.0,0.7169381109999999,112.0,30.0
2554,26.0,1001.2,48.0,2.6,81.0,42.0,0.715798046,134.0,24.0
2555,27.4,1001.1,44.0,2.3,90.0,46.0,0.71465798,168.0,32.0
2556,29.0,1000.7,42.0,2.5,94.0,33.0,0.713517915,219.0,22.0
2557,30.1,1000.2,37.0,2.3,85.0,15.0,0.71237785,253.0,30.0
2558,30.8,999.9,34.0,3.2,77.0,16.5,0.711237785,259.5,36.0
2559,31.2,999.4,32.0,2.5,69.0,18.0,0.71009772,266.0,42.0
2560,31.3,999.1,31.0,3.6,61.0,8.0,0.708957655,280.0,14.0
2561,31.7,999.2,31.0,2.2,83.0,13.0,0.70781759,281.0,9.0
2562,30.9,999.4,33.0,2.0,70.0,10.0,0.7066775240000001,287.0,17.0
2563,29.5,1000.1,42.0,1.7,67.0,28.0,0.7055374590000001,291.0,16.0
2564,27.8,1000.6,47.0,0.9,84.0,25.0,0.704397394,266.0,11.0
2565,24.1,1001.3,60.0,0.1,100.0,42.0,0.703257329,217.0,9.0
2566,22.9,1001.8,65.0,1.1,133.0,65.0,0.7021172640000001,159.0,14.0
2567,21.7,1002.2,70.0,0.4,134.0,59.0,0.7009771990000001,150.0,13.0
2568,21.4,1002.3,72.0,0.6,107.0,34.0,0.699837134,193.0,20.0
2569,21.3,1002.2,73.0,0.9,129.0,90.0,0.698697068,92.0,16.0
2570,19.5,1002.1,81.0,0.5,150.0,84.0,0.697557003,77.0,6.0
2571,19.2,1002.2,83.0,0.7,149.0,88.0,0.6964169379999999,45.0,14.0
2572,18.2,1002.5,87.0,0.7,172.0,78.0,0.695276873,49.0,7.0
2573,17.6,1002.6,91.0,0.4,179.0,55.0,0.694136808,47.0,10.0
2574,18.6,1003.1,89.0,0.5,188.0,68.0,0.6929967429999999,23.0,2.0
